miRNA_1	miRNA_2	target
MIR103A1	MIR107	HELZ
MIR103A1	MIR107	TGFBR3
MIR103A1	MIR107	VPS4A
MIR103A1	MIR107	ATP13A3
MIR103A1	MIR107	PTPN4
MIR103A1	MIR107	SUSD6
MIR103A1	MIR107	MYB
MIR103A1	MIR107	FAF2
MIR103A1	MIR107	SCN1A
MIR103A1	MIR107	CHD1
MIR103A1	MIR107	ARMC8
MIR103A1	MIR107	LRP1B
MIR103A1	MIR107	ZBTB39
MIR103A1	MIR107	AMMECR1
MIR103A1	MIR107	RAI14
MIR103A1	MIR107	PLEKHF2
MIR103A1	MIR107	LATS2
MIR103A1	MIR107	DCP1A
MIR103A1	MIR107	CCDC6
MIR103A1	MIR107	TBKBP1
MIR103A1	MIR107	ARHGAP5
MIR103A1	MIR107	PHF20
MIR103A1	MIR107	SALL4
MIR103A1	MIR107	PNISR
MIR103A1	MIR107	DICER1
MIR103A1	MIR107	RNF38
MIR103A1	MIR107	NPAS2
MIR103A1	MIR107	SNX3
MIR103A1	MIR107	PHYHIPL
MIR103A1	MIR107	RCAN1
MIR103A1	MIR107	ASH1L
MIR103A1	MIR107	ATL2
MIR103A1	MIR107	NFIA
MIR103A1	MIR107	SLC20A2
MIR103A1	MIR107	FGF2
MIR103A1	MIR107	N4BP1
MIR103A1	MIR107	CHIC1
MIR103A1	MIR107	ZHX1
MIR103A1	MIR107	ACVR2B
MIR103A1	MIR107	PDE3B
MIR103A1	MIR107	CUL4A
MIR103A1	MIR107	YWHAH
MIR103A1	MIR107	FLOT2
MIR103A1	MIR107	HACD2
MIR103A1	MIR107	ZNF654
MIR103A1	MIR107	MFN2
MIR103A1	MIR107	CAB39
MIR103A1	MIR107	RUNX1T1
MIR103A1	MIR107	GPCPD1
MIR103A1	MIR107	PRKG1
MIR103A1	MIR107	MYBL1
MIR103A1	MIR107	RPS6KA3
MIR103A1	MIR107	PLEKHA1
MIR103A1	MIR107	RAP2C
MIR103A1	MIR107	GSKIP
