miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR515-1	MIR516B2	not_in_G	not_in_G
MIR515-1	MIR517A	not_in_G	not_in_G
MIR515-1	MIR517B	not_in_G	not_in_G
MIR515-1	MIR517C	not_in_G	not_in_G
MIR515-1	MIR518A1	not_in_G	not_in_G
MIR515-1	MIR518A2	not_in_G	not_in_G
MIR515-1	MIR518B	not_in_G	not_in_G
MIR515-1	MIR518C	not_in_G	not_in_G
MIR515-1	MIR518D	not_in_G	not_in_G
MIR515-1	MIR518E	not_in_G	not_in_G
MIR515-1	MIR518F	not_in_G	not_in_G
MIR515-1	MIR519A1	not_in_G	not_in_G
MIR515-1	MIR519A2	not_in_G	not_in_G
MIR515-1	MIR519B	not_in_G	not_in_G
MIR515-1	MIR519C	not_in_G	not_in_G
MIR515-1	MIR519D	not_in_G	not_in_G
MIR515-1	MIR519E	not_in_G	not_in_G
MIR515-1	MIR520A	not_in_G	not_in_G
MIR515-1	MIR520B	not_in_G	not_in_G
MIR515-1	MIR520C	not_in_G	not_in_G
MIR515-1	MIR520D	not_in_G	not_in_G
MIR515-1	MIR520E	not_in_G	not_in_G
MIR515-1	MIR520F	not_in_G	not_in_G
MIR515-1	MIR520G	not_in_G	not_in_G
MIR515-1	MIR520H	not_in_G	not_in_G
MIR515-1	MIR521-1	not_in_G	not_in_G
MIR515-1	MIR521-2	not_in_G	not_in_G
MIR515-1	MIR522	not_in_G	not_in_G
MIR515-1	MIR523	not_in_G	not_in_G
MIR515-1	MIR524	not_in_G	not_in_G
MIR515-1	MIR525	not_in_G	not_in_G
MIR515-1	MIR526A1	not_in_G	not_in_G
MIR515-1	MIR526A2	not_in_G	not_in_G
MIR515-1	MIR526B	not_in_G	not_in_G
MIR515-1	MIR527	not_in_G	not_in_G
MIR515-2	MIR515-2	not_in_G	not_in_G
MIR515-2	MIR516A1	not_in_G	not_in_G
MIR515-2	MIR516A2	not_in_G	not_in_G
MIR515-2	MIR516B1	not_in_G	not_in_G
MIR515-2	MIR516B2	not_in_G	not_in_G
MIR515-2	MIR517A	not_in_G	not_in_G
MIR515-2	MIR517B	not_in_G	not_in_G
