miRNA_1	miRNA_2	target
MIR106A	MIR20B	CNOT4
MIR106A	MIR20B	CRIM1
MIR106A	MIR20B	PPP1R15B
MIR106A	MIR20B	WEE1
MIR106A	MIR20B	MKNK2
MIR106A	MIR20B	CSNK1A1
MIR106A	MIR20B	FAM167A
MIR106A	MIR20B	IPO7
MIR106A	MIR20B	SNX9
MIR106A	MIR20B	CRY2
MIR106A	MIR20B	DNPH1
MIR106A	MIR20B	EFCAB14
MIR106A	MIR20B	RAB5B
MIR106A	MIR20B	MAP3K9
MIR106A	MIR20B	KLF3
MIR106A	MIR20B	PIK3R1
MIR106A	MIR20B	MACF1
MIR106A	MIR20B	PLEKHO2
