miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR302A	MIR520D	LRP1B	VLDLR
MIR302A	MIR520D	MTF1	ZNF148
MIR302A	MIR520D	RAB22A	RAB11A
MIR302A	MIR520D	GDF11	LEFTY2
MIR302A	MIR520D	ZBTB41	PRDM4
MIR302A	MIR520E	E2F7	E2F5
MIR302A	MIR520E	ZBTB5	ZNF367
MIR302A	MIR520E	UBE2B	UBE2W
MIR302A	MIR520E	GLIS3	AEBP2
MIR302A	MIR520E	LEFTY1	GDF11
MIR302A	MIR520E	LEFTY1	LEFTY2
MIR302A	MIR520E	MTF1	ZNF148
MIR302A	MIR520E	RAB22A	RAB11A
MIR302A	MIR520E	GDF11	LEFTY2
MIR302A	MIR520E	ZBTB41	PRDM4
MIR302A	MIR520F	PRDM4	ZBTB41
MIR302A	MIR520F	MTF1	ZNF148
MIR302A	MIR520F	AEBP2	GLIS3
MIR302A	MIR520F	PAK2	MINK1
MIR302A	MIR520G	NR2C2	NR2F2
MIR302A	MIR524	RAB22A	RAB11A
MIR302B	MIR302C	ZBTB5	ZNF367
MIR302B	MIR302C	UBE2B	UBE2W
MIR302B	MIR302C	GLIS3	AEBP2
MIR302B	MIR302C	MTF1	ZNF148
MIR302B	MIR302C	RAB22A	RAB11A
MIR302B	MIR302D	NR2C2	NR2F2
MIR302B	MIR302D	GALNT13	GALNT3
MIR302B	MIR302D	ATRNL1	LAMA3
MIR302B	MIR302D	ATRNL1	TMEFF1
MIR302B	MIR302D	ZBTB5	ZNF367
MIR302B	MIR302D	SRSF1	RSRC2
MIR302B	MIR302D	ZNF143	ZNF148
MIR302B	MIR302D	ZNF143	MTF1
MIR302B	MIR302D	TLL2	NRXN3
MIR302B	MIR302D	SOX6	SOX11
MIR302B	MIR302D	GLIS3	AEBP2
MIR302B	MIR302D	TGFBR2	ACVR1
MIR302B	MIR302D	LEFTY1	GDF11
MIR302B	MIR302D	LEFTY1	LEFTY2
MIR302B	MIR302D	ERBB4	PDGFRA
MIR302B	MIR302D	PPM1B	PDP1
MIR302B	MIR302D	EHMT1	KMT2A
MIR302B	MIR302D	GULP1	FAM43A
MIR302B	MIR302D	MTF1	ZNF148
MIR302B	MIR302D	ATP2C1	ATP2B1
MIR302B	MIR302D	LAMA3	TMEFF1
MIR302B	MIR302D	RAB22A	RAB11A
MIR302B	MIR302D	GDF11	LEFTY2
MIR302B	MIR302D	ZBTB41	PRDM4
MIR302B	MIR302D	PDP1	PPM1A
MIR302B	MIR372	E2F7	E2F5
MIR302B	MIR372	ZBTB5	ZNF367
MIR302B	MIR372	GLIS3	AEBP2
MIR302B	MIR372	MTF1	ZNF148
MIR302B	MIR372	RAB22A	RAB33B
MIR302B	MIR372	GDF11	LEFTY2
MIR302B	MIR372	ZBTB41	PRDM4
MIR302B	MIR373	NR2C2	NR2E1
MIR302B	MIR373	E2F7	E2F5
MIR302B	MIR373	ZBTB5	ZNF367
MIR302B	MIR373	UBE2B	UBE2W
MIR302B	MIR373	LEFTY1	GDF11
MIR302B	MIR373	LEFTY1	LEFTY2
MIR302B	MIR373	MTF1	ZNF148
MIR302B	MIR373	CUL3	CACUL1
MIR302B	MIR373	RAB22A	RAB11A
MIR302B	MIR373	GDF11	LEFTY2
MIR302B	MIR373	ZBTB41	PRDM4
MIR302B	MIR520A	E2F7	E2F5
