miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR509-1	MIR509-2	PCDHA12	PCDHA4
MIR509-1	MIR509-2	ELAVL1	TARDBP
MIR509-1	MIR509-2	PCDHA4	PCDHA1
MIR509-1	MIR509-2	SYNCRIP	TARDBP
MIR509-1	MIR509-3	RAB11A	RAB5C
MIR509-1	MIR509-3	RAB11A	RAB5B
MIR509-1	MIR509-3	PCDHAC1	PCDHA10
MIR509-1	MIR509-3	PCDHA3	PCDHA6
MIR509-1	MIR509-3	PCDHA3	PCDHA1
MIR509-1	MIR509-3	PCDHA3	PCDHA11
MIR509-1	MIR509-3	PCDHA3	PCDHA10
MIR509-1	MIR509-3	PCDHA10	PCDHA6
MIR509-1	MIR509-3	PCDHA10	PCDHA4
MIR509-1	MIR509-3	PCDHA10	PCDHA2
MIR509-1	MIR509-3	PCDHA10	PCDHA13
MIR509-1	MIR509-3	PCDHA10	PCDHA11
MIR509-1	MIR509-3	PCDHA10	PCDHA12
MIR509-1	MIR509-3	PCDHA12	PCDHA4
MIR509-1	MIR509-3	ELAVL1	TARDBP
MIR509-1	MIR509-3	PCDHA4	PCDHA1
MIR509-1	MIR509-3	SYNCRIP	TARDBP
MIR509-1	MIR513B	ELAVL1	TARDBP
MIR509-1	MIR892A	PCDHAC1	PCDHA10
MIR509-1	MIR892A	PCDHA11	PCDHA10
MIR509-1	MIR892A	PCDHA4	PCDHA10
MIR509-2	MIR509-3	RAB11A	RAB5C
MIR509-2	MIR509-3	RAB11A	RAB5B
MIR509-2	MIR509-3	PCDHAC1	PCDHA10
MIR509-2	MIR509-3	PCDHA3	PCDHA6
MIR509-2	MIR509-3	PCDHA3	PCDHA1
MIR509-2	MIR509-3	PCDHA3	PCDHA11
MIR509-2	MIR509-3	PCDHA3	PCDHA10
MIR509-2	MIR509-3	PCDHA10	PCDHA6
MIR509-2	MIR509-3	PCDHA10	PCDHA4
MIR509-2	MIR509-3	PCDHA10	PCDHA2
MIR509-2	MIR509-3	PCDHA10	PCDHA13
MIR509-2	MIR509-3	PCDHA10	PCDHA11
MIR509-2	MIR509-3	PCDHA10	PCDHA12
MIR509-2	MIR509-3	PCDHA12	PCDHA4
MIR509-2	MIR509-3	ELAVL1	TARDBP
MIR509-2	MIR509-3	PCDHA4	PCDHA1
MIR509-2	MIR509-3	SYNCRIP	TARDBP
MIR509-2	MIR513B	ELAVL1	TARDBP
MIR509-2	MIR892A	PCDHAC1	PCDHA10
MIR509-2	MIR892A	PCDHA11	PCDHA10
MIR509-2	MIR892A	PCDHA4	PCDHA10
MIR509-3	MIR513B	ELAVL1	TARDBP
MIR509-3	MIR892A	PCDHAC1	PCDHA10
MIR509-3	MIR892A	PCDHA11	PCDHA10
